Date,Open,High,Low,Close,Adj Close,Volume
"Jul 2, 2025",152.81,158.72,151.26,151.77,151.77,"8,458,200"
"Jul 1, 2025",162.78,162.78,154.9,155.94,155.94,"10,913,500"
"Jun 30, 2025",163.31,173.35,160.46,163.06,163.06,"13,731,800"
"Jun 27, 2025",160.13,167.88,158.2,159.99,159.99,"17,437,600"
"Jun 26, 2025",164.15,165.99,152.89,158.08,158.08,"17,009,600"
"Jun 25, 2025",178.02,180.25,157.9,159.5,159.5,"17,830,200"
"Jun 24, 2025",176.37,183.98,171.23,172.62,172.62,"18,343,600"
"Jun 23, 2025",183.32,183.53,159,173.68,173.68,"26,820,700"
"Jun 20, 2025",171.82,187,168.85,183.58,183.58,"31,258,700"
"Jun 18, 2025",173.33,176.75,165.55,170,170,"19,866,400"
"Jun 17, 2025",156.98,175.38,155.8,171.93,171.93,"32,381,800"
"Jun 16, 2025",148.6,158.5,143.48,158.5,158.5,"19,757,100"
"Jun 13, 2025",143.24,154.5,142.5,147.19,147.19,"16,515,200"
"Jun 12, 2025",153.7,154.8,142.5,148.97,148.97,"15,249,000"
"Jun 11, 2025",160.01,166.03,145.5,149.7,149.7,"25,772,800"
"Jun 10, 2025",156.5,158.3,149,154.9,154.9,"24,264,300"
"Jun 9, 2025",147.8,163.29,144.14,162.1,162.1,"29,451,700"
"Jun 6, 2025",144.93,148.79,138.59,140.16,140.16,"23,229,900"
"Jun 5, 2025",156,157.46,132.8,135.05,135.05,"50,579,600"
"Jun 4, 2025",155.88,166.63,144.3,163.1,163.1,"55,448,700"
"Jun 3, 2025",125.3,150.88,124.7,150.48,150.48,"53,920,700"
"Jun 2, 2025",116.29,123.66,114,120.2,120.2,"26,269,100"
"May 30, 2025",109,111.95,104.9,111.31,111.31,"23,532,800"
"May 29, 2025",123.5,130.76,105.53,105.55,105.55,"38,491,000"
"May 28, 2025",123.75,123.75,113,116.15,116.15,"27,833,900"
"May 27, 2025",109.27,125.02,107.97,123.97,123.97,"38,032,000"
"May 23, 2025",98,106.79,97.1,102.74,102.74,"31,097,600"
"May 22, 2025",112.14,116.54,99.51,100.16,100.16,"61,046,900"
"May 21, 2025",89.46,109.49,89.3,107.39,107.39,"61,681,600"
"May 20, 2025",89.67,96.35,83.31,90.24,90.24,"34,969,200"
"May 19, 2025",76.9,88.9,76.08,86.59,86.59,"33,360,500"
"May 16, 2025",68.07,84,67.55,80.3,80.3,"42,984,000"
"May 15, 2025",68.87,72.97,61.33,65.77,65.77,"36,202,100"
"May 14, 2025",66,68.5,64,67.46,67.46,"25,124,600"
"May 13, 2025",57.6,64.87,57.32,63.26,63.26,"10,125,900"
"May 12, 2025",54.3,59.44,52.9,58.49,58.49,"10,619,000"
"May 9, 2025",55.96,56.82,50.18,51.37,51.37,"7,948,900"
"May 8, 2025",54.71,55.7,52.77,55,55,"6,264,000"
"May 7, 2025",54.91,54.91,51.4,53.6,53.6,"5,940,300"
"May 6, 2025",49.36,54.83,49.06,54.29,54.29,"9,644,400"
"May 5, 2025",50.43,52.78,49.7,51.01,51.01,"6,432,300"
"May 2, 2025",46.94,51.82,45.8,51.57,51.57,"9,199,600"
"May 1, 2025",47.03,48.35,44.03,44.32,44.32,"13,001,600"
"Apr 30, 2025",41,41.51,39.5,41.3,41.3,"6,100,200"
"Apr 29, 2025",42.21,46.45,41.01,42.82,42.82,"10,493,600"
"Apr 28, 2025",42.01,43.33,39.78,42.02,42.02,"5,194,600"
"Apr 25, 2025",41.95,44.36,40.9,41.54,41.54,"8,765,600"
"Apr 24, 2025",42.55,43.5,38.8,41.77,41.77,"9,376,700"
"Apr 23, 2025",42.08,43.95,40.16,41.62,41.62,"7,651,500"
"Apr 22, 2025",36.98,39.61,36,38.51,38.51,"9,589,300"
"Apr 21, 2025",38.62,38.64,33.51,35.42,35.42,"8,116,200"
"Apr 17, 2025",41.05,41.63,38.35,39.09,39.09,"4,844,600"
"Apr 16, 2025",40.17,40.84,38.26,40.73,40.73,"7,206,800"
"Apr 15, 2025",43.56,44.74,40,40.78,40.78,"6,841,300"
"Apr 14, 2025",46.79,46.85,42.4,43.61,43.61,"4,827,000"
"Apr 11, 2025",42.5,44.88,41.02,43.75,43.75,"5,579,500"
"Apr 10, 2025",46.9,47,41.84,42.2,42.2,"9,404,300"
"Apr 9, 2025",43.72,49.88,39.12,48.77,48.77,"17,229,700"
"Apr 8, 2025",54.15,54.8,42.36,43.61,43.61,"13,657,200"
"Apr 7, 2025",43.88,52,42.16,49.85,49.85,"11,414,700"
"Apr 4, 2025",49.6,51,43.51,47.82,47.82,"14,469,600"
"Apr 3, 2025",55.39,57.65,48.26,53.8,53.8,"27,120,600"
"Apr 2, 2025",55.91,64.62,51.4,61.36,61.36,"52,666,800"
"Apr 1, 2025",38.5,53.27,37.2,52.57,52.57,"38,327,800"
"Mar 31, 2025",38.49,38.49,36,37.08,37.08,"15,194,800"
"Mar 28, 2025",39,41.94,37.46,40,40,"41,091,100"
